,title,country,documentLink,year,category,documentType,actors
0,Guidance on the AI auditing framework,United Kingdom,https://ico.org.uk/media/about-the-ico/consultations/2617219/guidance-on-the-ai-auditing-framework-draft-for-consultation.pdf,2020,Data protection,Guidance,Information Commissioner's Office
1,Artificial Intelligence Profiling Act (HB2644),USA,http://lawfilesext.leg.wa.gov/biennium/2019-20/Pdf/Bills/House%20Bills/2644.pdf?q=20200124083150,2020,Profiling,Bill,Washington State Legislature
2,Norwegian National Strategy for Artificial Intelligence,Norway,https://www.regjeringen.no/contentassets/1febbbb2c4fd4b7d92c67ddd353b6ae8/en-gb/pdfs/ki-strategi_en.pdf,2020,AI in general,Strategy,Norwegian Ministry of Local Government and Modernisation
3,Strategy for the Development of Artificial Intelligence in the Republic of Serbia for the period 2020-2025,Serbia,https://www.media.srbija.gov.rs/medsrp/dokumenti/strategy_artificial_intelligence.pdf,2020,AI in general,Strategy,Government of Serbia
4,With Great Tech Comes Great Responsibility,Global,https://foundation.mozilla.org/en/initiatives/great-tech-great-responsibility/,2020,AI in general,Guidelines,Mozilla Foundation
5,Federal Data Strategy 2020 Action Plan,USA,https://strategy.data.gov/action-plan/,2019,Data Governance,Action plan,US Office of Management and Budget
6,Structure for the White Paper on AI - A European Approached [leaked],European Union,https://www.euractiv.com/wp-content/uploads/sites/2/2020/01/AI-white-paper-EURACTIV.pdf,2019,AI in general,White paper,European Commission
7,Reporting on automated decision systems used by city agencies.,USA,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=4265421&GUID=FBA29B34-9266-4B52-B438-A772D81B1CB5&Options=&Search=,2019,Automated Decision Systems,Local law,New York City Council
8,Recommendations for an AI Strategy in Switzerland,Switzerland,https://www.satw.ch/fileadmin/user_upload/documents/02_Themen/08_Kuenstliche-Intelligenz/SATW-Swiss_AI_Strategy.pdf,2019,AI in general,White paper,Swiss Academy of Engineering Sciences
9,2016-2019 Progress Report: Advancing Artificial Intelligence R&D,USA,https://www.whitehouse.gov/wp-content/uploads/2019/11/AI-Research-and-Development-Progress-Report-2016-2019.pdf,2019,AI in general,Report,"US National Science and Technology Council, US  Office of Science and Technology Policy, Select Committee on Artificial Intelligence, Subcommittee on Machine Learning and Artificial Intelligence, Subcommittee on Networking & Information Technology Research & Development, Artificial Intelligence Research & Development Interagency Working Group, "
10,Artificial Intelligence Strategy of the Valencian Community,Spain,http://www.presidencia.gva.es/documents/80279719/169117420/Dossier_en.pdf/c943f4aa-2822-4c5e-a3db-63a45cca5bf5,2019,AI in general,Strategy,Generalitat Valenciana
11,Facial recognition technology: fundamental rights considerations in the context of law enforcement,European Union,https://fra.europa.eu/sites/default/files/fra_uploads/fra-2019-facial-recognition-technology-focus-paper-1_en.pdf,2019,Facial recognition,Report,European Union Agency for Fundamental Rights (FRA)
12,New York City Automated Decision Systems Task Force Report,USA,https://www1.nyc.gov/assets/adstaskforce/downloads/pdf/ADS-Report-11192019.pdf,2019,Automated Decision Systems,Report,New York City Automated Decision Systems Task Force
13,Privacy 2030 - A New Vision for Europe,European Union,https://iapp.org/media/pdf/resource_center/giovanni_manifesto.pdf,2019,Data protection,Report,International Association of Privacy Professionals
14,Hungarian AI Action Plan,Hungary,https://www.lexology.com/library/detail.aspx?g=d0882959-b5ee-46d6-95bf-13d5df70f269,2019,AI in general,Action plan,Ministry for Innovation and Technology
15,Draft Guidelines for AI procurement,United Kingdom,https://www.gov.uk/government/publications/draft-guidelines-for-ai-procurement,2019,AI in Government,Guidelines,UK Office for Artificial Intelligence
16,Lithuanian Artificial Intelligence Strategy,Lithuania,http://kurklt.lt/wp-content/uploads/2018/09/StrategyIndesignpdf.pdf,2019,AI in general,Strategy,Ministry of Economy of the Republic of Lithuania
17,A Framework for Developing a National Artificial Intelligence Strategy,Global,http://www3.weforum.org/docs/WEF_National_AI_Strategy.pdf,2019,AI in general,White paper,World Economic Forum
18,Spanish RDI Strategy in AI,Spain,http://www.ciencia.gob.es/stfls/MICINN/Ciencia/Ficheros/Estrategia_Inteligencia_Artificial_EN.PDF,2019,AI in general,Strategy,"Ministry of Science, Innovation and Universities"
19,Deepfake Report Act of 2019 (S.2065),USA,https://www.congress.gov/bill/116th-congress/senate-bill/2065,2019,Deep fakes,Bill,US Congress
20,Draft Italian National AI Strategy,Italy,https://www.mise.gov.it/images/stories/documenti/Strategia-Nazionale-Intelligenza-Artificiale-Bozza-Consultazione.pdf,2019,AI in general,Strategy,Italian Ministry of the Economic Development
21,Estonia's National AI Strategy 2019-20201,Estonia,https://www.kratid.ee/in-english,2019,AI in general,Strategy,"Estonian Ministry of Economic Affairs and Communications, Estonian Government Office, "
22,Leading the way into the era of artificial intelligence,Finland,http://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/161688/41_19_Leading%20the%20way%20into%20the%20age%20of%20artificial%20intelligence.pdf?sequence=4&isAllowed=y,2019,AI in general,Strategy,Ministry of Economic Affairs and Employment of Finland
23,A guide to using artificial intelligence in the public sector,United Kingdom,https://www.gov.uk/government/collections/a-guide-to-using-artificial-intelligence-in-the-public-sector,2019,AI in Government,Guidelines,UK Office for Artificial Intelligence
24,G20 Ministerial Statement on Trade and Digital Economy,"Australia, Canada, Saudi Arabia, USA, India, Russia, South Africa, Turkey, Argentina, Brazil, Mexico, France, Germany, Italy, United Kingdom, China, Indonesia, Japan, South Korea, ",https://www.mofa.go.jp/files/000486596.pdf,2019,AI in general,Principles,G20
25,AI Portugal 2030,Portugal,https://www.incode2030.gov.pt/sites/default/files/incode_aiportugal2030_june19.pdf,2019,AI in general,Strategy,Portuguese Foundation for Science and Technology
26,Data quality and artificial intelligence - mitigating bias and error to protect fundamental rights,European Union,https://fra.europa.eu/sites/default/files/fra_uploads/fra-2019-data-quality-and-ai_en.pdf,2019,Model and data management,Report,European Union Agency for Fundamental Rights (FRA)
27,Federal Data Strategy,USA,https://strategy.data.gov/overview/,2019,Data Governance,Strategy,US Office of Management and Budget
28,The National Artificial Intelligence Research And Development Strategic Plan: 2019 Update,USA,https://www.whitehouse.gov/wp-content/uploads/2019/06/National-AI-Research-and-Development-Strategic-Plan-2019-Update-June-2019.pdf,2019,AI in general,"Strategy, Report",Select Committee On Artificial Intelligence Of The National Science & Technology Council
29,#BigData: Discrimination in data-supported decision making,European Union,https://fra.europa.eu/sites/default/files/fra_uploads/fra-2018-focus-big-data_en.pdf,2019,Model and data management,Report,European Union Agency for Fundamental Rights (FRA)
30,Artificial Intelligence: a strategic vision for Luxembourg,Luxembourg,https://digital-luxembourg.public.lu/sites/default/files/2019-05/AI_EN_1.pdf,2019,AI in general,Strategy,The Government of the Grand Duchy of Luxembourg
31,Government AI Readiness Index 2019,Global,https://ai4d.ai/wp-content/uploads/2019/05/ai-gov-readiness-report_v08.pdf,2019,AI in general,Report,Oxford Insights
32,Algorithmic Accountability Act of 2019 (HR2231),USA,https://www.wyden.senate.gov/imo/media/doc/Algorithmic%20Accountability%20Act%20of%202019%20Bill%20Text.pdf,2019,Automated Decision Systems,Bill,US Congress
33,AI 4 Belgium,Belgium,https://www.ai4belgium.be/wp-content/uploads/2019/04/report_en.pdf,2019,AI in general,Strategy,AI4Belgium Coalition
34,Social Principles of Human-Centric AI,Japan,https://www8.cao.go.jp/cstp/english/humancentricai.pdf,2019,AI in general,Strategy,Council for Social Principles of Human-centric AI
35,Danish National Strategy for AI,Denmark,https://eng.em.dk/media/13081/305755-gb-version_4k.pdf,2019,AI in general,Strategy,Danish Government
36,Malta - Towards an AI Strategy - High-level policy document for public consultation,Malta,https://malta.ai/wp-content/uploads/2019/04/Draft_Policy_document_-_online_version.pdf,2019,AI in general,Strategy,"Malta.AI Taskforce, Parliamentary Secretary for Financial Services, Digital Economy and Innovation - Malta"
37,Elections: deceptive audio or visual media (AB-730),USA,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB730,2019,Deep fakes,Bill,California State Legislature
38,Artificial Intelligence Video Interview Act (HB2557),USA,http://www.ilga.gov/legislation/BillStatus.asp?DocNum=2557&GAID=15&DocTypeID=HB&SessionID=108&GA=101,2019,Video analysis,State legislation,Illinois General Assembly
39,Executive Order on Maintaining American Leadership in Artificial Intelligence,USA,https://www.whitehouse.gov/presidential-actions/executive-order-maintaining-american-leadership-artificial-intelligence/,2019,AI in general,Policy,The White House
40,Directive on the Use of Machine Learning for Decision-Making,Canada,Draft Directive,2019,Automated Decision Systems,Directive,Government of Canada
41,Introduction to artificial intelligence in government,United Kingdom,https://www.gov.uk/guidance/introduction-to-artificial-intelligence-in-government,2019,AI in Government,Education,"UK Digital, Data and Technology Profession"
42,Automating Society,European Union,https://algorithmwatch.org/en/automating-society/,2019,Automated Decision Systems,Report,AlgorithmWatch
43,"Establishing guidelines for government procurement and use of automated decision systems in order to protect consumers, improve transparency, and create more market predictability (HB1655; SB5527)",USA,https://legiscan.com/WA/drafts/HB1655/2019,2019,Automated Decision Systems,Bill,Washington State Legislature
44,Guidelines on AI and Data Protection,European Union,https://rm.coe.int/guidelines-on-artificial-intelligence-and-data-protection/168091f9d8,2019,Data protection,Guidelines,Council of Europe
45,A Proposed Model AI Governance Framework,Singapore,https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Resource-for-Organisation/AI/A-Proposed-Model-AI-Governance-Framework-January-2019.pdf,2019,AI in general,Proposal,Personal Data Protection Commission
46,Perspectives on Issues in AI Governance,Global,https://ai.google/static/documents/perspectives-on-issues-in-ai-governance.pdf,2019,AI in general,White paper,Google
47,Opinion of the German Data Ethics Commission,Germany,https://www.bmjv.de/SharedDocs/Downloads/DE/Themen/Fokusthemen/Gutachten_DEK_EN.pdf?__blob=publicationFile&v=1,2019,Data Governance,Report,German Data Ethics Commission
48,AI Principles and Ethics,United Arab Emirates,https://www.smartdubai.ae/initiatives/ai-principles-ethics,2019,AI in general,Ethics guidelines,Smart Dubai
49,Driverless Futures,United Kingdom,https://driverless-futures.com/,2019,Autonomous mobility,Research,UK Economic and Social Research Council
50,Analysis of the Development Potential of Artificial Intelligence in the Czech Republic,Czechia,https://www.vlada.cz/assets/evropske-zalezitosti/aktualne/AI-Summary-Report.pdf,2018,AI in general,Report,Office of the Government of the Czech Republic
51,Action Plan Against Disinformation,European Union,https://ec.europa.eu/commission/sites/beta-political/files/eu-communication-disinformation-euco-05122018_en.pdf,2018,Disinformation,Action plan,European Commission
52,Applying AI for Social Good,Global,https://www.mckinsey.com/~/media/mckinsey/featured%20insights/artificial%20intelligence/applying%20artificial%20intelligence%20for%20social%20good/mgi-applying-ai-for-social-good-discussion-paper-dec-2018.ashx,2018,AI in general,Report,McKinsey
53,Artificial Intelligence - A European Perspective,European Union,https://ec.europa.eu/jrc/en/publication/eur-scientific-and-technical-research-reports/artificial-intelligence-european-perspective,2018,AI in general,Research,European Commission - Joint Research Centre
54,Artificial intelligence across industries,Global,https://basecamp.iec.ch/download/iec-white-paper-artificial-intelligence-across-industries-en/,2018,AI in general,White paper,International Electrotechnical Commission
55,Coordinated Plan on Artificial Intelligence,European Union,https://ec.europa.eu/digital-single-market/en/news/coordinated-plan-artificial-intelligence,2018,AI in general,Strategy,European Commission
56,Draft Ethics Guidelines for Trustworthy AI,European Union,https://ec.europa.eu/newsroom/dae/document.cfm?doc_id=56433,2018,AI in general,Ethics guidelines,High-Level Expert Group on Artificial Intelligence
57,European Ethical Charter on the Use of Artificial Intelligence in Judicial Systems and their environment,European Union,https://rm.coe.int/ethical-charter-en-for-publication-4-december-2018/16808f699c,2018,Justice system,Ethics guidelines,Council of Europe - CEPEJ
58,Safe Face Pledge,Global,https://www.safefacepledge.org/,2018,Facial recognition,Self-regulation,Algorithmic Justice League
59,Artificial Intelligence Mission Austria 2030 (AIM AT 2030),Austria,https://www.bmvit.gv.at/innovation/publikationen/ikt/downloads/aimat_ua.pdf,2018,AI in general,Strategy,"Austrian Federal Ministry of Transportation, Innovation and Technology, Austrian Federal Ministry of Digital and Economic Affairs"
60,Austrian Action Programme on Automated Mobility 2019-2022,Austria,https://www.bmvit.gv.at/en/service/publications/downloads/action_automated_mobility_2019-2022_ua.pdf,2018,Autonomous mobility,Action programme,"Ministry for Transport, Innovation and Technology"
61,Center for Data Ethics and Innovation,United Kingdom,https://www.gov.uk/government/groups/centre-for-data-ethics-and-innovation-cdei,2018,AI in general,Advisory body,"UK Department for Digital, Culture, Media & Sport, UK Department for Business, Energy & Industrial Strategy"
62,Comprehensive European industrial policy on AI and robotics,European Union,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//NONSGML+COMPARL+PE-630.525+01+DOC+PDF+V0//EN&language=EN,2018,AI in general,Report,"European Parliament Committee on Industry, Research and Energy"
63,Data Trust pilots,United Kingdom,https://theodi.org/article/uks-first-data-trust-pilots-to-be-led-by-the-odi-in-partnership-with-central-and-local-government/,2018,Model and data management,Pilot,Open Data Institute
64,Deutsche Telekom AI Guidelines,Global,https://www.telekom.com/en/company/digital-responsibility/details/artificial-intelligence-ai-guideline-524366,2018,AI in general,Self-regulation,Deutsche Telekom
65,Ethics in Autonomous and Artificial Intelligence Applications,Global,"https://www.iec.ch/dyn/www/f?p=103:186:5696200230312::::FSP_ORG_ID,FSP_LANG_ID:22827,",2018,AI in general,Standardisation,International Electrotechnical Commission
66,Guidelines on AI and Machine Learning,European Union,https://www.epo.org/law-practice/legal-texts/html/guidelines2018/e/g_ii_3_3_1.htm,2018,AI in general,Guidelines,European Patent Office
67,Guiding Principles for Ethical AI,Global,https://blogs.unity3d.com/2018/11/28/introducing-unitys-guiding-principles-for-ethical-ai/,2018,AI in general,Self-regulation,Unity3d
68,Industry 4WRD - National Policy on Industry 4.0,Malaysia,http://www.miti.gov.my/miti/resources/National%20Policy%20on%20Industry%204.0/Industry4WRD_Final.pdf,2018,AI in general,Strategy,Ministry of International Trade and Industry
69,Mapping Regulatory Proposals For Artificial Intelligence In Europe,European Union,https://www.accessnow.org/cms/assets/uploads/2018/11/mapping_regulatory_proposals_for_AI_in_EU.pdf,2018,AI in general,Report,Access Now
70,Microsoft AI Principles,Global,https://www.microsoft.com/en-us/ai/our-approach-to-ai,2018,AI in general,Self-regulation,Microsoft
71,Montreal Declaration on Responsible AI,Global,https://www.montrealdeclaration-responsibleai.com/the-declaration,2018,AI in general,Declaration,University of Montreal
72,Nondisclosed-by-default policy,USA,https://intelligence.org/2018/11/22/2018-update-our-new-research-directions/,2018,AI in general,Self-regulation,Machine Intelligence Research Institute
73,Positively Shaping the Future of Austria with Robotics and AI,Austria,https://www.acrai.at/images/download/ACRAI_whitebook_online_2018.pdf,2018,AI in general,White paper,Austrian Council on Robotics and AI
74,"Principles to Promote Fairness, Ethics, Accountability and Transparency in the Use of AI and Data Analytics in Singapore’s Financial Sector",Singapore,http://www.mas.gov.sg/~/media/MAS/News%20and%20Publications/Monographs%20and%20Information%20Papers/FEAT%20Principles%20Final.pdf,2018,Finance,Ethics guidelines,Monetary Authority of Singapore
75,The National AI Strategy of the Federal Government of Germany,Germany,https://www.ki-strategie-deutschland.de/home.html,2018,AI in general,Strategy,Federal Government of Germany
76,Protocol amending the Convention for the Protection of Individuals with regard to Automatic Processing of Personal Data,European Union,https://www.coe.int/en/web/conventions/full-list/-/conventions/rms/09000016808ac918,2018,Data protection,Treaty,Council of Europe
77,AI4People Ethical Framework for a Good AI Society,European Union,http://www.eismd.eu/wp-content/uploads/2018/11/Ethical-Framework-for-a-good-AI-Society.pdf,2018,AI in general,Ethics guidelines,Atomium
78,Coalition on Artificial Intelligence,Hungary,https://digitalisjoletprogram.hu/hu/tartalom/mesterseges-intelligencia-koalicio,2018,AI in general,"Network, Strategy",Ministry for Innovation and Technology
79,Ethical Accountability Framework,Hong Kong,https://www.pcpd.org.hk/misc/files/Ethical_Accountability_Framework.pdf,2018,Model and data management,Report,Privacy Commissioner for Personal Data
80,Governing AI - Upholding Human Rights and Dignity,Global,https://datasociety.net/wp-content/uploads/2018/10/DataSociety_Governing_Artificial_Intelligence_Upholding_Human_Rights.pdf,2018,AI in general,Report,Data & Society
81,Preparing for the Future of Transportation Automated Vehicles 3.0,USA,https://www.transportation.gov/sites/dot.gov/files/docs/policy-initiatives/automated-vehicles/320711/preparing-future-transportation-automated-vehicle-30.pdf,2018,Autonomous mobility,Regulation,US Department of Transport
82,Regulator's Pioneer Fund,United Kingdom,https://www.gov.uk/government/news/projects-lay-the-groundwork-for-a-future-of-robolawyers-and-flying-cars,2018,AI in general,Pilot,"Department for Business, Energy & Industrial Strategy"
83,Telefonica AI Ethics Guidelines,Global,https://www.telefonica.com/documents/737979/143948154/infografia-ia-eng.pdf/c203ade4-caf5-8664-c065-c5cc66cacca2?version=1.0,2018,AI in general,Ethics guidelines,Telefonica
84,Universal Guidelines for Artificial Intelligence,Global,https://thepublicvoice.org/ai-universal-guidelines/,2018,AI in general,Guidelines,"The Public Voice, Electronic Privacy Information Centre"
85,Artificial Intelligence in the Governance Sector in India,India,https://cis-india.org/internet-governance/ai-and-governance-case-study-pdf,2018,AI in Government,Report,The Centre for Internet and Society
86,Resolution on autonomous weapon systems,European Union,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+TA+P8-TA-2018-0341+0+DOC+XML+V0//EN&language=EN,2018,Lethal autonomous weapon systems,Resolution,European Parliament
87,ACR-215 23 Asilomar AI Principles,USA,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180ACR215,2018,AI in general,Resolution,California State Senate
88,AI Ethics Challenge,Finland,https://www.tekoalyaika.fi/en/background/ethics/,2018,AI in general,Self-regulation,AI Finland @ Ministry of Economic Affairs and Employment of Finland
89,AI in Government Act,USA,https://www.congress.gov/bill/115th-congress/senate-bill/3502,2018,Public services,Bill,US Senate
90,AI Next Campaign,USA,https://www.darpa.mil/work-with-us/ai-next-campaign,2018,AI in general,Research,DARPA
91,AI Policy Observatory,OECD,http://www.oecd.org/going-digital/ai/about-the-oecd-ai-policy-observatory.pdf,2018,AI in general,Observatory,OECD
92,Algorithms and AI in Latin America,"Argentina, Uruguay",http://webfoundation.org/docs/2018/09/WF_AI-in-LA_Report_Screen_AW.pdf,2018,Public services,White paper,World Wide Web Foundation
93,Artificial Intelligence Procurement Policy,United Kingdom,https://www.weforum.org/press/2018/09/united-kingdom-partners-with-world-economic-forum-to-develop-first-artificial-intelligence-procurement-policy/,2018,Public services,Partnership,"World Economic Forum, UK Government"
94,BOT: Disclosure Act (SB-1001),USA,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180SB1001,2018,Bots,State legislation,California State Legislature
95,Bots at the Gate - Human Rights and ADS,Canada,https://citizenlab.ca/wp-content/uploads/2018/09/IHRP-Automated-Systems-Report-Web-V2.pdf,2018,Automated Decision Systems,Report,University of Toronto
96,Bots: disclosure Act (SB-1001),USA,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180SB1001,2018,Bots,,California State Legislature
97,Essential H&S requirements for industrial machines equipped with machine learning,Netherlands,http://publications.tno.nl/publication/34627075/1L54hT/TNO-2018-R10499Engels.pdf,2018,Robotics,Report,Netherlands Organisation for Applied Scientific Research (TNO)
98,Expert Group on AI in Society,OECD,http://www.oecd.org/going-digital/ai/oecd-creates-expert-group-to-foster-trust-in-artificial-intelligence.htm,2018,AI in general,Working group,OECD
99,FRR Certificate,Global,https://responsiblerobotics.org/can-ai-survive-without-public-trust/,2018,Robotics,"Self-regulation, Standardisation",Foundation for Responsible Robotics
100,Guiding Principles for Artificial Intelligence,Global,https://news.sap.com/2018/09/sap-guiding-principles-for-artificial-intelligence/,2018,AI in general,Self-regulation,SAP
101,Initial code of conduct for data-driven health and care technology,United Kingdom,https://www.gov.uk/government/publications/code-of-conduct-for-data-driven-health-and-care-technology/initial-code-of-conduct-for-data-driven-health-and-care-technology,2018,Health,Guidelines,UK Department of Health and Social Care
102,Personal Data Protection Bill,India,http://meity.gov.in/data-protection-framework,2018,Data protection,Proposed law,Ministry of Electronics & Information Technology
103,Position paper on AI and standards,Germany,https://www.din.de/blob/306690/74b9d17abcab164b65aff765587a2ace/position-paper-artificial-intelligence-english--data.pdf,2018,AI in general,Standardisation,German Institute for Standardization (DIN)
104,Sony Group AI Ethics Guidelines,Global,https://www.sony.net/SonyInfo/csr_report/humanrights/hkrfmg0000007rtj-att/AI_Engagement_within_Sony_Group.pdf,2018,AI in general,Self-regulation,Sony
105,United Nations Activities on Artificial Intelligence,Global,https://www.itu.int/dms_pub/itu-s/opb/gen/S-GEN-UNACT-2018-1-PDF-E.pdf,2018,AI in general,,United Nations
106,Pretrial release or detention: pretrial services (SB-10),USA,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180SB10,2018,Justice system,State legislation,California State Legislature
107,Draft AI Utilisation Principles,Japan,http://www.soumu.go.jp/main_content/000581310.pdf,2018,AI in general,Guidelines,Ministry of Internal Affairs and Communications
108,ITU Focus Group on AI for Health,Global,https://www.itu.int/en/ITU-T/focusgroups/ai4h/Pages/default.aspx,2018,Health,Working group,"International Telecommunications Union, Wolrd Health Organization"
109,Lethal Autonomous Weapons Pledge,Global,https://futureoflife.org/lethal-autonomous-weapons-pledge/,2018,Lethal autonomous weapon systems,Self-regulation,Future of Life Institute
110,Open Community for Ethics in Autonomous and Intelligent Systems (OCEANIS),Global,https://ethicsstandards.org/,2018,AI in general,Standardisation,"IEEE, Afirca Organisation for Standardisation, Austrian Electrotechnical Association, Austrian Standards, Bureau of Indian Standards, British Standards Institution, China Electronics Standardization Institute, CIO Strategy Council, German Commission for Electrical, Electronic & Information Technologies, International Electrotechnical Commission, Ecuadorian Service for Standardization, Japanese Standards Association, National Standards Authority of Ireland, Turkish Standards Institution"
111,International Panel on Artificial Intelligence,"France, Canada",https://pm.gc.ca/eng/news/2018/12/06/mandate-international-panel-artificial-intelligence,2018,AI in general,"Partnership, International agreement","Government of Canada, Government of France"
112,A Practical Guide to Managing Risk in Machine Learning Models,Global,https://fpf.org/wp-content/uploads/2018/06/Beyond-Explainability.pdf,2018,Model and data management,White paper,"Future of Privacy Forum, Immuta, "
113,AB-375 Privacy: personal information: businesses,USA,,2018,Data protection,Proposed law,California State Legislature
114,Advisory Council on the Ethical Use of AI and Data,Singapore,https://www.imda.gov.sg/about/newsroom/media-releases/2018/composition-of-the-advisory-council-on-the-ethical-use-of-ai-and-data,2018,AI in general,Advisory body,Infocomm Media Development Authority
115,California Consumer Privacy Act (AB-375),USA,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB375,2018,Data protection,State legislation,California State Legislature
116,California Consumer Privacy Act (Assembly Bill No. 375),USA,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB375,2018,Data protection,Proposed law,California State Legislature
117,Charlevoix Common Vision for the Future of AI,"Canada, France, Germany, Italy, Japan, United Kingdom, USA",https://g7.gc.ca/wp-content/uploads/2018/06/FutureArtificialIntelligence.pdf,2018,AI in general,Declaration,G7
118,Data Ethics Framework,United Kingdom,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/737137/Data_Ethics_Framework.pdf,2018,Data governance,Ethics guidelines,"Department for Digital, Culture, Media & Sport"
119,Discussion Paper On AI and Personal Data,Singapore,https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Resource-for-Organisation/AI/Discussion-Paper-on-AI-and-PD---050618.pdf,2018,AI in general,Report,Personal Data Protection Commission
120,European AI Alliance,European Union,https://ec.europa.eu/digital-single-market/en/european-ai-alliance,2018,AI in general,Network,European Commission
